=== FINAL RESULTS ===
 451.19 | lr=0.02 | decay=0 | batch=9
 239.03 | lr=0.02 | decay=1 | batch=9
 411.36 | lr=0.02 | decay=0 | batch=10
 270.59 | lr=0.02 | decay=1 | batch=10
 468.36 | lr=0.02 | decay=0 | batch=11
 220.99 | lr=0.02 | decay=1 | batch=11
 394.75 | lr=0.02 | decay=0 | batch=12
 202.52 | lr=0.02 | decay=1 | batch=12
 397.08 | lr=0.02 | decay=0 | batch=14
 217.54 | lr=0.02 | decay=1 | batch=14
 372.22 | lr=0.02 | decay=0 | batch=16
 172.60 | lr=0.02 | decay=1 | batch=16
 195.71 | lr=0.02 | decay=0 | batch=32
 144.71 | lr=0.02 | decay=1 | batch=32
 137.54 | lr=0.02 | decay=0 | batch=64
 115.00 | lr=0.02 | decay=1 | batch=64
 423.79 | lr=0.03 | decay=0 | batch=6
 369.10 | lr=0.03 | decay=1 | batch=6
 387.56 | lr=0.03 | decay=0 | batch=7
 350.74 | lr=0.03 | decay=1 | batch=7
 419.67 | lr=0.03 | decay=0 | batch=8
 417.47 | lr=0.03 | decay=1 | batch=8
 420.47 | lr=0.03 | decay=0 | batch=9
 363.74 | lr=0.03 | decay=1 | batch=9
 471.08 | lr=0.03 | decay=0 | batch=10
 363.00 | lr=0.03 | decay=1 | batch=10
 421.51 | lr=0.03 | decay=0 | batch=11
 328.21 | lr=0.03 | decay=1 | batch=11
 437.74 | lr=0.03 | decay=0 | batch=12
 308.89 | lr=0.03 | decay=1 | batch=12
 421.37 | lr=0.03 | decay=0 | batch=14
 267.74 | lr=0.03 | decay=1 | batch=14
 428.22 | lr=0.03 | decay=0 | batch=16
 223.79 | lr=0.03 | decay=1 | batch=16
 242.15 | lr=0.03 | decay=0 | batch=32
 159.85 | lr=0.03 | decay=1 | batch=32
 167.43 | lr=0.03 | decay=0 | batch=64
 104.97 | lr=0.03 | decay=1 | batch=64
 371.70 | lr=0.04 | decay=0 | batch=6
 364.65 | lr=0.04 | decay=1 | batch=6
 376.73 | lr=0.04 | decay=0 | batch=7
 365.49 | lr=0.04 | decay=1 | batch=7
 460.11 | lr=0.04 | decay=0 | batch=8
 383.30 | lr=0.04 | decay=1 | batch=8
 315.33 | lr=0.04 | decay=0 | batch=9
 350.57 | lr=0.04 | decay=1 | batch=9
 360.91 | lr=0.04 | decay=0 | batch=10
 365.42 | lr=0.04 | decay=1 | batch=10
 436.41 | lr=0.04 | decay=0 | batch=11
 343.91 | lr=0.04 | decay=1 | batch=11
 341.28 | lr=0.04 | decay=0 | batch=12
 320.97 | lr=0.04 | decay=1 | batch=12
 382.92 | lr=0.04 | decay=0 | batch=14
 268.89 | lr=0.04 | decay=1 | batch=14
 392.65 | lr=0.04 | decay=0 | batch=16
 274.71 | lr=0.04 | decay=1 | batch=16
 292.98 | lr=0.04 | decay=0 | batch=32
 190.22 | lr=0.04 | decay=1 | batch=32
 167.37 | lr=0.04 | decay=0 | batch=64
 142.49 | lr=0.04 | decay=1 | batch=64
 327.17 | lr=0.05 | decay=0 | batch=6
 351.42 | lr=0.05 | decay=1 | batch=6
 269.87 | lr=0.05 | decay=0 | batch=7
 313.96 | lr=0.05 | decay=1 | batch=7
 385.03 | lr=0.05 | decay=0 | batch=8
 424.06 | lr=0.05 | decay=1 | batch=8
 285.39 | lr=0.05 | decay=0 | batch=9
 393.42 | lr=0.05 | decay=1 | batch=9
 345.02 | lr=0.05 | decay=0 | batch=10
 407.76 | lr=0.05 | decay=1 | batch=10
 353.54 | lr=0.05 | decay=0 | batch=11
 407.83 | lr=0.05 | decay=1 | batch=11
 372.48 | lr=0.05 | decay=0 | batch=12
 370.35 | lr=0.05 | decay=1 | batch=12
 315.22 | lr=0.05 | decay=0 | batch=14
 309.07 | lr=0.05 | decay=1 | batch=14
 410.50 | lr=0.05 | decay=0 | batch=16
 313.62 | lr=0.05 | decay=1 | batch=16
 275.03 | lr=0.05 | decay=0 | batch=32
 189.70 | lr=0.05 | decay=1 | batch=32
 171.54 | lr=0.05 | decay=0 | batch=64
 140.65 | lr=0.05 | decay=1 | batch=64
 439.29 | lr=0.06 | decay=0 | batch=6
 348.55 | lr=0.06 | decay=1 | batch=6
 350.09 | lr=0.06 | decay=0 | batch=7
 365.06 | lr=0.06 | decay=1 | batch=7
 311.74 | lr=0.06 | decay=0 | batch=8
 364.17 | lr=0.06 | decay=1 | batch=8
 297.34 | lr=0.06 | decay=0 | batch=9
 323.17 | lr=0.06 | decay=1 | batch=9
 289.54 | lr=0.06 | decay=0 | batch=10
 361.18 | lr=0.06 | decay=1 | batch=10
 457.97 | lr=0.06 | decay=0 | batch=11
 394.12 | lr=0.06 | decay=1 | batch=11
 361.96 | lr=0.06 | decay=0 | batch=12
 372.13 | lr=0.06 | decay=1 | batch=12
 406.64 | lr=0.06 | decay=0 | batch=14
 325.17 | lr=0.06 | decay=1 | batch=14
 362.03 | lr=0.06 | decay=0 | batch=16
